"Variable_Name","Variable_Label","Variable_Definition","R_Datatype","Python_Datatype","Pandas_Datatype","Values","Maximum_Number_of_Different_Values_in_the_Dataset","Comment","Type_of_Variable"
"Patient Number","patient","Patient index","numeric","int","int64","From 1 to 300","300",NA,"Auxiliary"
"SEXO (1-Hombre; 2-Mujer)","sex","Patient sex","factor","int","category","1 (Men) or 2 (Women)","2",NA,"Predictor"
"Hospital de Procedencia","hospital","Hospital where patient was attended","factor","int","category","1 (Hospital A); 2 (Hospital B) or 2 (Hospital C); NA (Missing value)","4",NA,"Auxiliary"
"Empeoramiento clínico después del TC (0-no; 1-empeora a causa del hematoma; 2-muere a causa del hematoma; 3-empeora por otra causa derivada). Tener en cuenta los quirúrgicos en el análisis","follow_up","Patient follow up during hospitalization","factor","int","category","0 (No deterioration after admission); 1 (Patient deterioration due to the hemorrhage); 2 (Patient death due to the hemorrhage); 3 (Patient deterioration but not due to the hemorrhage); NA (Missing value)","4",NA,"Outcome"
"Secuelas (0-no; 1-si; 2-si muere a causa del hematoma; 3-muere a causa de otra complicación; 4-le dan el alta y muere en los siguientes 3 meses por el hematoma). De momento todo se considera secuela (cuadrantanopsias;...)","final_outcome","Patient final outcome","factor","int","category","0 (Complete curation); 1 (Curation with sequelae); 2 (Hospitalization death due to ICH); 3 (Hospitalization death but not due to ICH); 4 (Death in the next three months after hospital discharge due to ICH); NA (Missing value)","6",NA,"Outcome"
"Número de AP","nfamily_medhist","Number of family relevant medical history events","numeric","int","int64","From 0 to inf","300",NA,"Predictor"
"Fumador (0 - no; 1 - sí; 2 - exfumador; 1234 - sin datos)","tobacco","Patient smoked tobacco","factor","int","category","0 (Patient has never been a tobacco smoker); 1(Patient is currently a tobacco smoker); 2 (Patient is a past tobacco smoker); NA (Missing value)","4",NA,"Predictor"
"Fumador (paquetes/año: cigarrillos día/20 x años que lleva fumando; 1234 si no hay datos)","n_tobacco","Packs years (cigarrettes per day/20 x years of tobacco use)","numeric","int","int64","From 0 to inf; NA (Missing value)","300",NA,"Predictor"
"Drogas (0 - no o no consta; 1 - cocaína; 2 - THC; 3 - otras; 4 - Exconsumidor)","drugs","Drug consumption","factor","int","category","0 (No consumption); 1 (cocaine); 2 (Cannabis); 3 (Other drug); 4 (Past consumer)","5",NA,"Predictor"
"Alcohol (0 - no o no consta; 1 - sí; pero consumo habitual; 2 - sí; alcoholismo; 3 - exbebedor)","alcohol","Alcohol consumption","factor","int","category","0 (No drinking); 1 (Drink in moderation); 2 (Heavy drinking); 3 (Past heavy drinking)","4",NA,"Predictor"
"Alcohol (g/día; mL de bebida diaria x graduación x 0.8 / 100; 1234 si no consta)","g_alcohol","Grammes of alcohol intake per day (mL x measured as a percentage x 0.8/100)","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
